identifier,name,short_description,location,created_year
,Artesian VC,"Artesian VC is a VC firm offering end-to-end venture capital platform for startups at seed, angel, and growth stages.",Melbourne,2012
,Blue Owl,Blue Owl is an alternative asset manager that provides investors access to direct lending and GP capital solutions.,New York,2021
,Chainguard,Chainguard provides low-to-zero CVE container images that provide a secure software foundation for building and running applications.,Kirkland,2021
,FLYR,FLYR is a technology company that uses AI to help airlines and hospitality businesses.,Santa Monica,2014
,Cowbell,Cowbell provides adaptive cyber insurance for small and medium-sized enterprises using AI-driven risk assessment.,Pleasanton,2019
,Archer,Archer is an aerospace company that developed an electric vertical takeoff and landing aircraft tailored for urban air mobility systems.,San Francisco,2020
,HUB International,"HUB International is an insurance brokerage and risk management company offering property, casualty, life, and health insurance services.",Chicago,2013
,TEDCO,"TEDCO is a Maryland-based independent organization focused on researchers, entrepreneurs, startups, and early-stage companies.",Columbia,2009
,Caresyntax,Caresyntax is a vendor neutral data-driven surgery platform that makes surgery smarter by reducing variability and improving efficency.,Boston,2017
,Pipefy,Pipefy is a no-code process orchestration platform to easily automate workflows and manage business processes.,San Francisco,2014
,Novartis,Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.,Basel,2008
,Apple,"Apple is a corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",Cupertino,2007
,Techstars,Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,Boulder,2014
,PayPal,PayPal is a financial service company that provides online payment solutions to its users worldwide.,San Jose,2007
,Lockheed Martin,"Lockheed Martin is a global security and aerospace company specialized in advanced technology systems, products and services.",Bethesda,2008
,Saronic,Saronic designs and manufactures unmanned surface vehicles for maritime security and domain awareness.,Austin,2023
,Cents,Cents provides an all-in-one management system for laundromats and dry cleaners.,New York,2020
,UniCredit,UniCredit Group is an Italian global banking and financial services company.,Milan,2014
,Ola,Ola is a mobility platform and ride-hailing company that integrates city transportation for customers and driver partners.,Kormangala,2011
,CIBC,CIBC is a financial service company that offers business solutions.,Toronto,2012
,Recursion Pharmaceuticals,Recursion Pharmaceuticals is a biotech company that develops a drug discovery platform and pipeline with machine learning.,Salt Lake City,2014
,IndieBio,"IndieBio is the largest biotech startup accelerator, run by SOSV.",San Francisco,2013
,Kiteworks,Kiteworks provides secure communication and file-sharing solutions for businesses and organizations.,San Mateo,2010
,Compass,"Compass is a real estate technology company that provides an online platform for buying, renting, and selling real estate assets.",New York,2015
,Helsing,Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,Berlin,2021
,Rapid7,Rapid7 is a cybersecurity company that helps organizations detect and respond to security threats effectively.,Boston,2009
,Inflection Point Ventures,Inflection Point Ventures is an early stage angel investing platform that provides both monetary and non-monetary support to the startups.,Gurgaon,2019
,Core Scientific,Core Scientific operates blockchain data centers and manufactures digital currency mining servers.,Austin,2018
,xAI,XAI is an AI company that develops a platform to accelerate human scientific discovery.,Burlingame,2023
,HDFC Bank,HDFC Bank provides banking and financial services to individuals and businesses in India.,Mumbai,2013
,CrowdStrike,"CrowdStrike is a cybersecurity technology firm that provides cloud-delivered protection for cloud workloads, identity, and data.",Sunnyvale,2012
,Tilray,"Tilray is a cannabis-lifestyle and consumer packaged goods company that offers cannabis, hemp-based foods, and craft beverages.",Nanaimo,2015
,Berkshire Hathaway,Berkshire Hathaway is a conglomerate holding company.,Omaha,2013
,Polymarket,"Polymarket is a prediction market platform where traders predict future event outcomes, reacting to news in real time.",New York,2018
,Krafton,Krafton is a game developer for PC and mobile devices that focuses on fantasy games.,Seongnam,2013
,Gro Intelligence,"The AI-powered decision engine across agriculture, climate, and the economy",New York,2014
,Startmate,Startmate is the epicentre for startup ambition across Australia and New Zealand,Melbourne,2010
,Serve Robotics,Serve Robotics develops self-driving robots to deliver food and supplies.,Los Angeles,2021
,Gradient AI,"Gradient AI provides AI solutions for the insurance industry, leveraging vast industry data for accurate predictions.",Boston,2019
,Bitcoin,Bitcoin is a cryptocurrency company.,San Francisco,2017
,Ant Group,Ant Group strives to enable all consumers and small businesses to have equal access to financial and other services through technology.,Hangzhou,2007
,Duolingo,Duolingo is a language-learning education platform that offers 98 total courses across nearly 40 distinct languages.,Pittsburgh,2012
,Lucid Motors,Lucid Motors is an automotive company that specializes in electric cars.,Newark,2010
,Hayden AI,"Hayden AI is an AI platform offering geospatial analytics, transit management, and technology services.",San Francisco,2019
,MicroStrategy,"MicroStrategy provides enterprise software for business intelligence, mobile intelligence, and network applications.",Vienna,2008
,ANZ,ANZ is a banking company that provides online banking services to individuals and businesses.,Melbourne,2016
,Acronis,"Acronis unifies data protection & cybersecurity to deliver integrated, automated cyber protection to solve challenges of the digital world.",Schaffhausen,2008
,General Motors,"General Motors is an automotive company that designs, produces, markets, and distributes vehicles and vehicle parts.",Detroit,2009
,Pendo,Pendo is a product experience platform that specializes in software usage analytics and digital adoption solutions.,Raleigh,2014
,Monarch Tractor,"Monarch Tractor creates fully electric, autonomous tractors designed to enhance productivity, sustainability, and safety in agriculture.",Livermore,2020
,TELUS,"Second largest Canadian telecommunications company. Provides wireless phone service, high speed Internet, IPTV, home phone, long distance,",Vancouver,2008
,Nasdaq,"Nasdaq is a global provider of trading, clearing, exchange technology, listing, information, and public company services.",New York,2014
,Siemens,"Siemens is a technology company that offers cybersecurity, digital consulting, and business services.",Munich,2008
,T-Mobile,"T-Mobile is a telecommunications company that provides wireless communication services, including mobile phone and internet services.",Bellevue,2008
,Suno,Suno is a music start-up that enables anyone to make the songs they want.,Cambridge,2023
,Aven,Aven is a financial services company that offers a unique product known as the Aven HELOC Card.,Burlingame,2020
,Monzo,"Monzo is a digital bank that provides a user-friendly mobile app, innovative features, and a transparent approach to banking.",London,2015
,Skild AI,Skild AI is a startup that develops software to power various robots.,Pittsburgh,2024
,European Bank for Reconstruction and Development,"European Bank for Reconstruction and Development is a financial institution that offers banking solutions, financial instruments and advice.",London,2008
,Five9,"Five9 is a cloud-based call center software company that specializes in sales, marketing, and customer service.",San Ramon,2008
,Sybill AI,"Sybill analyzes verbal and non-verbal cues to generate meeting summaries, crafting deal notes and CRM updates using AI models.",Mountain View,2021
,Humana,"Humana is a health insurance provider for individuals, families, and businesses.",Louisville,2014
,Stripe,Stripe is an API technology company that provides online payment processing and commerce solutions for Internet businesses.,South San Francisco,2011
,Exiger,Exiger provides technology-enabled risk and compliance services to help heavily regulated firms.,New York,2017
,Stellantis,Stellantis provides automakers and mobility services.,Hoofddorp,2021
,Thumbtack,Thumbtack is a home services website connecting users with local service providers.,San Francisco,2009
,monday.com,Monday.com is a work operating system where organizations of any size can create processes to manage every aspect of their work.,Tel Aviv,2012
,Hadrian,Hadrian is a machine parts startup that manufactures precision components for technology companies.,Hawthorne,2021
,Encord,Encord is an AI data development platform for computer vision and multimodal AI teams.,San Francisco,2020
,Deliveroo,Deliveroo is an online food delivery service that allows users to order restaurant meals using the web and mobile.,London,2014
,Box,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.",Redwood City,2007
,Ericsson,Ericsson is an information and communications technology company that offers network services.,Kista,2010
,JP Morgan Chase,"JP Morgan Chase is a global financial services provider that offers investment banking, asset management, treasury, and other services.",New York,2010
,SentinelOne,SentinelOne is an autonomous cybersecurity solution company.,Mountain View,2013
,SK Hynix,"SK Hynix is the global leader in producing semiconductor, such as DRAM and NAND flash and System IC including CMOS Image Sensors.",Icheon,2012
,Bitwise,"Bitwise is a crypto index fund manager for individuals, investment managers, and institutions navigating cryptocurrency.",San Francisco,2017
,Axis Bank,"Axis Bank is a banking institution offering commercial, corporate and retail banking, and treasury operations.",Mumbai,2013
,Cyble,"Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.",Alpharetta,2019
,Snap,"Snap is a technology company that offers the products Snapchat, Spectacles, and Bitmoji.",Venice,2014
,Exo,Exo is a medical device startup which develops handheld ultrasound devices and AI for imaging and therapeutic applications.,Redwood City,2018
,Moderna,Moderna Therapeutics is a biotechnology company that specializes in vaccines and drug development.,Cambridge,2012
,Huma,Huma offers a health platform used for remote patient monitoring and biological data gathering for preventative healthcare.,London,2011
,HP,"HP is a manufacturer and seller of personal computers, printers, computer hardwares, and business solutions.",Palo Alto,2007
,UiPath,UiPath is a software company that develops robotic process automation and artificial intelligence software.,New York,2015
,Health Catalyst,Health Catalyst is a tech platform that organizes and links health-related data from different systems.,Salt Lake City,2013
,BitGo,"BitGo is a blockchain and cryptocurrency security company that offers clients with security, custody, and liquidity solutions.",Palo Alto,2014
,Amount,Amount is a digital technology company that accelerates digital transformation for financial institutions.,Chicago,2014
,Terran Orbital,"Terran Orbital specializes in space technology, particularly in the fields of satellite manufacturing and space systems.",Boca Raton,2015
,Fireworks AI,Commoditize AI infrastructure for PyTorch to accelerate product innovation and disruption,Redwood City,2023
,Workato,Workato is an enterprise automation platform that helps organizations work faster and smarter without compromising governance and security.,Mountain View,2014
,Morgan Stanley,"Morgan Stanley is a financial services company that offers securities, asset management, and credit services.",New York,2007
,Thyme Care,Thyme Care is a healthcare company that provides oncology care management services.,Nashville,2021
,Cart.com,Cart.com is a technology company that provides a unified commerce platform to help companies from discovery to delivery.,Houston,2021
,QA Wolf,QA Wolf is your modern QA team,Seattle,2021
,Rewst,Rewst develops a robotic process automation technology for smaller managed services providers.,Tampa,2021
,Commure,"Commure is healthcare’s first operating system, purpose-built to foster a vibrant health ecosystem by advancing care through collaboration.",San Francisco,2018
,Rebellions,Rebellions develops AI accelerators by bridging the gap between underlying silicon architectures and deep learning algorithms.,Seongnam,2021
,Verizon,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,New York,2008
,Cloudflare,Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,San Francisco,2009
,Cosm,Cosm is a media and entertainment company that builds end-to-end experience solutions for the technology and entertainment sectors.,Los Angeles,2021
,Google,Google is a multinational corporation that specializes in Internet-related services and products.,Mountain View,2014
,Lakera AI,Lakera AI is a real-time GenAI security company that utilizes AI to protect enterprises from LLM vulnerabilities.,San Francisco,2021
,Chainlink,"Chainlink is a web3 services platform that connects people, businesses, and data to the blockchain.",Grand Cayman,2019
,Tesla,"Tesla Motors is an electric vehicle and clean energy company that provides electric cars, solar, and renewable energy solutions.",Austin,2007
,Element Biosciences,Element Biosciences is a life science company that focuses on developing innovative genetic analysis tools.,San Diego,2019
,Sahara AI,"Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.",Los Angeles,2024
,Flywire,Flywire is a payments enablement and software company that simplifies complex payments for its clients and their customers.,Boston,2010
,Rocket Lab,"Rocket Lab is an aerospace company that specializes in satellite, rocket, and spacecraft design, construction, and launch operations.",Long Beach,2015
,Payoneer,Payoneer is a financial technology company that enables small and medium-sized enterprises to transact and thrive.,New York,2007
,BAE Systems,"BAE Systems is a defense, security, and aerospace company that provides its products and services to military and commercial customers.",London,2009
,BP,"BP is an energy company providing oil, gas, and renewable energy solutions, alongside refining, trading, and shipping services worldwide.",London,2016
,NextEra Energy,NextEra Energy is a publicly-traded renewable energy company that generates wind and solar power.,Palm Beach,2013
,Creatio,Creatio offers a no-code platform that automates CRM and enterprise workflows.,Boston,2012
,Leonardo AI,"Leonardo AI is a generative AI platform for content creation, offering features like the Alchemy Refiner and an image generator app.",Sydney,2023
,Illumina,Illumina is an innovative technology and revolutionary assays aiming the analyze genetic variation and function.,San Diego,2010
,Exscientia,Exscientia is a pharmatech company that uses an end-to-end AI platform to design and discover new drugs.,Oxford,2017
,blinkit,Blinkit is a low-price online supermarket that provides grocery delivery.,Gurgaon,2014
,Kandji,"Kandji is an Apple device management platform that enables secure and productive use of Mac, iPad, iOS, and tvOS devices.",San Diego,2018
,Gate.io,"Gate.io is a crypto exchange platform that provides trade, investment, and digital wallet services.",George Town,2019
,Reliance Jio,Reliance Jio is a telecommunications company that offers mobile internet access to customers and businesses.,Mumbai,2015
,Intuit,"Intuit offers business and financial management solutions for small businesses, consumers, and self-employed individuals.",Mountain View,2008
,Alibaba Group,"Alibaba Group enables businesses to transform the way they market, sell, operate, and improve their efficiencies.",Hangzhou,2007
,Roche,Roche is a pharmaceutical and diagnostics company that focuses on improving people’s lives.,Basel,2013
,TON Provider,"TON DC is an internet company that operates as a decentralized network data center, supporting the dynamic development of the TON ecosystem.",Zürich,2023
,Apollo,Apollo is an asset management firm that focuses on the private investment-grade and fixed-income markets.,New York,2011
,Squire,Squire is a booking and payment platform that connects people with great barbers.,New York,2015
,1Password,"1Password operates as a password manager for documents, credit card information, and addresses.",Toronto,2018
,LaunchVic,"LaunchVic supports a recognized, thriving startup culture, and entrepreneurs to develop and grow businesses.",Melbourne,2017
,National Institutes of Health,National Institutes of Health is a biomedical research facility that focuses on biomedical and health-related research.,Bethesda,2011
,Neptune Medical,Neptune Medical is a medical device company that develops endoscopic and surgical devices.,Burlingame,2021
,Decipial Foundation,Decipial Proximity Platform© provides an Edge Network infrastructure and software platform.,Geneva,2023
,MassVentures,MassVentures is a venture capital firm focused on supporting Massachusetts-based startups to prosper in their businesses.,Boston,2012
,Ares Management,"Ares Management is an alternative asset manager focusing on credit, private equity, and real estate.",Chicago,2012
,ClickHouse,ClickHouse is a developer of an online analytical processing (OLAP) database management system.,Portola Valley,2021
,Amplitude,Amplitude is a product intelligence platform that provides digital product tools that help teams run and grow their businesses.,San Francisco,2013
,H.I.G. Capital,"H.I.G. Capital is an investment firm that includes private equity, real estate, and health industries.",Miami,2016
,IntelePeer,IntelePeer is a communications automation platform utilizing AI to enhance interactions.,San Mateo,2008
,Capital One,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.",Mclean,2009
,Pluralsight,"Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.",Draper,2014
,LegalZoom,LegalZoom is a technology platform giving access to professional legal advice so people can protect what matters most.,Glendale,2009
,Stonepeak,"Stonepeak Infrastructure Partners invests in infrastructure assets with stable cash flows, inflation linkage, and high barriers to entry.",New York,2013
,Blend,"Blend is a digital lending platform that facilitates the entire lending process, from application to underwriting to closing.",San Francisco,2014
,L'Oreal,L’Oréal manufactures and sells cosmetic products for women and men worldwide.,Clichy,2012
,BITKRAFT Ventures,"BITKRAFT Ventures is an early-stage investment platform for gaming, esports, and interactive media.",San Francisco,2016
,KuCoin,KuCoin is a global cryptocurrency exchange offering digital assets and providing crypto services to its users.,Mahé,2018
,Coinbase,"Coinbase is a cryptocurrency exchange and cryptocurrency wallet platform that allows users to buy, sell, and store various cryptocurrencies.",San Francisco,2012
,Sierra Space,Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Louisville,2021
,CARS24,CARS24 is as AutoTech company that utilizes technology and dealer network for buying and selling pre-owned cars.,Gurgaon,2018
,Meta,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",Menlo Park,2007
,AbbVie,"AbbVie is a pharmaceutical company that discovers, develops, and markets medicines.",North Chicago,2013
,The EVERY Company,"The EVERY Company makes real animal protein without the use of a single animal, starting with chicken-less egg proteins.",South San Francisco,2015
,Captions,Captions is an AI-powered creative studio developing a video creation and editing platform for content creation.,New York,2023
,Ubisoft,"Ubisoft is a producer, publisher, and distributor of interactive entertainment products. ",Montreuil-sous-bois,2009
,Syfe,Syfe is a digital investment platform that offers a range of investment solutions tailored for both novice and experienced investors.,Singapore,2019
,Rolls-Royce,"Rolls-Royce provides aerospace engines, power systems, defense propulsion, marine solutions, and comprehensive MRO services.",London,2016
,Baller Mixed Reality,Pioneering the New Era of Mixed Reality Collectibles with Digital Assets Autographed by Legendary Athletes & Entertainers,Miami Beach,2022
,Dojo,Dojo is a financial technology company providing card payment solutions for small and medium-sized businesses in the UK and Ireland.,London,2014
,Startup Wise Guys,"Startup Wise Guys is a venture capital and private equity firm that invests in start ups, B2C and B2B.",Tallinn,2014
,Silo.AI,"Silo.AI is a private AI lab developing AI-driven services for smart devices, autonomous vehicles, and smart cities.",Helsinki,2017
,Mask Network,"Mask Network is the Portal to the New, Open Internet.",Singapore,2018
,Export Development Canada,Export Development Canada supports Canada’s export trade by helping companies react to international business openings.,Ottawa,2013
,Atos,"Atos provides consulting services and solutions, ranging from supporting strategy development to enterprise solutions and technology.",Bezons,2012
,Hims & Hers,"Hims is a wellness brand that helps men and women get access to products for skin care, hair loss, and sexual health.",San Francisco,2017
,Airtel,"Airtel is a global telecommunications company that provides mobile, voice, and data solutions.",New Delhi,2008
,DraftKings,DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports.,Boston,2012
,Slack,Slack is an enterprise software platform that allows teams and businesses of all sizes to communicate effectively.,San Francisco,2009
,Xero,"Xero is a suite of online accounting software for small businesses, accountants, and bookkeepers.",Wellington,2008
,RunLve,Runlve is a provider of secure packages and tools to help enterprises manage the security and compliance of open-source software.,Interlaken,2024
,Carwow,"Carwow is an online car marketplace that connects customers, automotive brands and car dealers.",London,2010
,PropertyGuru Group,PropertyGuru Group is a real estate company that provides property development services.,Singapore,2012
,Outbrain,Outbrain is a technology company that offers a recommendation platform to connect advertisers to open web consumers.,New York,2008
,NFP,"NFP is an insurance brokerage company that specializes in property, wealth management, and retirement planning services.",New York,2015
,Australian Renewable Energy Agency,Australian Renewable Energy Agency is a government agency that provides funding to accelerate renewable energy innovation.,Canberra,2013
,IppoPay,IppoPay is a payment aggregator that helps small businesses collect and distribute payments efficiently.,Chennai,2020
,Keywords Studios,Keywords studios provides creative and technical services to the video game industry.,Dublin,2016
,Revolut,"Revolut is a financial technology company that offers banking services, money transfers, foreign exchange, and spending analytics.",London,2014
,osapiens,Osapiens provides an ESG platform and Software-as-a-Service solutions for companies.,Mannheim,2020
,GE Healthcare,GE Healthcare provides a wide range of medical technologies and services to healthcare providers and researchers.,Chicago,2008
,VARTA,"VARTA AG is a German company manufacturing batteries for global automotive, industrial, and consumer markets.",Ellwangen,2016
,Mytra,Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,South San Francisco,2022
,Thoughtworks,"Thoughtworks is a technological firm that combines strategy, design, and software engineering.",Chicago,2012
,Moonshot AI,Moonshot AI seeks solutions in transforming energy into intelligence and generating intelligence with users through its product offerings.,Haidian,2023
,Silicon Box,Silicon Box is a semiconductor integration service provider specializing in full chip design and manufacturing.,Singapore,2023
,Rheinmetall,Rheinmetall specializes in security and mobility solutions.,Düsseldorf,2016
,Quanta Services,"Quanta Services provides engineering, procurement, and construction (EPC) services for comprehensive infrastructure needs.",Houston,2014
,Nasuni,Nasuni is a cloud storage company that provides hybrid cloud-based storage and file-sharing platforms to manage file growth.,Boston,2009
,Wolters Kluwer,Wolters Kluwer provides its clients with information services and software solutions.,Alphen Aan Den Rijn,2009
,ABB,ABB provides electrification and automation solutions for various industries.,Zürich,2010
,Urban Company,"Urban Company provides home cleaning, maintenance, and beauty treatment services conveniently delivered to the doorstep.",Gurgaon,2015
,Peloton,Peloton is an interactive fitness platform reinventing fitness with live and on-demand boutique studio classes.,New York,2012
,MongoDB,MongoDB is a next-generation database that helps businesses transform their industries by harnessing the power of data.,New York,2008
,Leonid Capital Partners,Leonid Capital Partners invests vital capital into critical National Security initiatives.,Huntington Beach,2022
,DecoverAI,DecoverAI is a generative AI company that delivers AI-driven solutions to enhance the efficiency and effectiveness of legal professionals.,Washington,2024
,Muon Space,"Muon Space designs, builds, and operates orbit satellite constellations to deliver mission-critical data.",Mountain View,2021
,Lenovo,"Lenovo Group is a computer technology company that manufactures personal computers, smartphones, televisions, and wearable devices.",Beijing,2009
,Freshworks,Freshworks is building and delivering online cloud-based software-as-a-service that provides helpdesk support with automation solutions.,,2011
,Luminar,"Luminar is an autonomous vehicle and lidar technology company for passenger cars, commercial trucking and robo-taxi.",Orlando,2017
,Eventbrite,Eventbrite develops an online platform that lets users find and create events.,San Francisco,2007
,Masdar,"Masdar is a renewable energy company that develops and operates solar, wind, energy storage, and geothermal projects.",Abu Dhabi,2013
,Partior,Partior is a fintech company that leverages blockchain technology to transform the global clearing and settlement infrastructure.,Singapore,2022
,Infinite Reality,"Infinite Reality helps clients by accelerating audience engagement through its photorealistic, cinematic-quality virtual environments.",Norwalk,2022
,Novo Nordisk,Novo Nordisk is a healthcare company that produces and distributes insulin and other diabetes drugs to treat chronic diseases.,Bagsværd,2016
,Levitate,Levitate develops a relationship marketing platform that provides communication tools and an AI dashboard.,Raleigh,2020
,Oportun,Oportun is a digital banking platform that offers personal loans and financial services to people with limited credit history.,San Carlos,2011
,Investec,Investec is a specialist bank and asset management company that provides various financial products and services.,Cape Town,2009
,Vodafone,"Vodafone is a mobile telecommunications company that offers voice, messaging, and cellular data services.",Newbury,2008
,OneStream Software,OneStream Software is an independent software company that develops a financial planning and analysis software.,Rochester,2016
,Silver Lake,Silver Lake is a private equity firm that makes large-scale investments in technology companies.,Menlo Park,2009
,ADP,"ADP provides business outsourcing solutions that facilitate businesses in HR, payroll, and administration processes.",Roseland,2008
,Lineage Logistics,Lineage Logistics is a warehousing and logistics company that provides temperature-controlled logistics and supply chain solutions.,Novi,2016
,Quest Diagnostics,"Quest Diagnostics is a clinical laboratory that offers diagnostic testing, services, and information.",Secaucus,2010
,Snorkel AI,The data-centric platform of enterprise AI,Redwood City,2020
,Bioniq,Bioniq offers personalized supplements with up to 120 nutrients tailored to individual health needs.,London,2019
,Endor Labs,Endor Labs is a software supply chain security company that improves application security and manages open-source software dependencies.,Palo Alto,2022
,Woodside Energy,"Woodside Energy is an energy company that focuses on oil, gas, and new energy solutions.",Perth,2014
,JD.com,JD.com is an internet company and online consumer electronics retailer in China.,Beijing,2010
,bitsCrunch,bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics company that aims to secure the blockchain space.,Munich,2021
,Uber,"Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",San Francisco,2010
,Thrive Capital,"Thrive Capital is an investment firm that builds and invests in internet, software, and technology-enabled companies.",New York,2010
,Valsoft,Valsoft Corporation specializes in the acquisition and growth of vertical-market software enterprises.,Montréal,2016
,Omni,Omni is a marketplace that provides access to the things needed by nayone through its rentals platform.,San Francisco,2014
,PCF Insurance,PCF is a full-service insurance brokerage firm which provides complete risk management solutions.,Woodland Hills,2020
,Carvana,Carvana is an e-commerce platform that buys and sells used cars.,Tempe,2013
,Arcee.ai,Arcee.ai develops context-adapted LLMs through their domain-adapted language model system (DALM).,Miami,2023
,Accenture,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",Dublin,2008
,Spline,Spline offers 3D design and collaboration tools to create and manipulate 3D models and environments.,Middletown,2021
,ThetaRay,ThetaRay develops a transaction monitoring platform to identify signs of money laundering.,Hod Hasharon,2013
,ICICI Bank,ICICI Bank is a private sector bank providing banking products and financial services.,Mumbai,2010
,Trove,"Trove, commanding 75% of U.S. branded resale, empowers brands like Patagonia and Michael Kors to launch, manage, and scale resale programs",Brisbane,2021
,Unity,Unity provides multiplatform tools and services to developers of interactive content.,San Francisco,2009
,Mynt,"Mynt manages Gcash and offers payment handling, money transfers, lending opportunities, and business solutions and platforms.",Taguig,2017
,dezerv.,"Deserv offers an integrated portfolio approach to investment, providing higher returns with lower risk.",Mumbai,2021
,Addionics,Addionics manufactures 3D Current Collectors to enhance battery performance and production efficiency.,London,2018
,Partners Group,Partners Group is a private equity firm capitalizing on growth trends and transforming businesses and assets into market leaders.,Baar,2009
,Moximed,Moximed develops innovative therapies for patients with knee osteoarthritis.,Hayward,2013
,Archrock,Archrock provides natural gas contract compression services to customers in the oil and gas industries in the United States.,Houston,2023
,G2,"G2 operates a software marketplace for business organizations to research, buy, and manage their software and services.",Chicago,2013
,StackShare,StackShare is on a mission to connect every developer in the world with the right tools and the companies using them.,San Francisco,2014
,Shinobi Therapeutics,Shinobi Therapeutics develops immune-evasive iPS cell therapies for cancer treatment.,South San Francisco,2023
,PsiQuantum,PsiQuantum focuses on developing a scalable quantum computer using photonic qubits.,Palo Alto,2019
,Altair,"Altair Engineering, Inc. provides enterprise analytics, engineering, and on-demand computing software technologies. Its technology.",Troy,2010
,Embraer,Embraer is an aerospace manufacturer that produces commercial and executive aircraft for the commercial and defense sectors.,São Paulo,2014
,Wayfair,Wayfair is an online retailer that offers a wide range and selection of home products.,Boston,2008
,Aptean,"Aptean provides enterprise software solutions to the process manufacturing, distribution, and financial services industries.",Indianapolis,2010
